UnixTime,Month,Day,Equipment Type,Lane,Distance,Lanes with 1ple Carriers,Mileage Band Lower,Mileage Band Upper,Freight Charge,Fuel Charge,GM$,Same Day Loads,Total Cost USD
1498780800,6,21,Van - 53 Feet,"Plainfield, IN -- Shakopee, MN",609.7,1,500,750,1012.1,128.04,-726,0,1866
1498780800,6,28,Van - 53 Feet,"Mcallen, TX -- Dallas, TX",518.9,1,500,750,643.44,83.02,26,0,700
1498780800,6,30,Van - 53 Feet,"Mcallen, TX -- Dallas, TX",518.9,1,500,750,643.44,83.02,-1065,0,2000
1498780800,6,30,Van - 53 Feet,"Mcallen, TX -- Dallas, TX",518.9,1,500,750,643.44,83.02,-1065,0,2000
1498780800,6,30,Van w/ Team,"Dallas, TX -- Jacksonville, FL",1005.8,1,1000,1500,3580.65,0,1581,0,2000
1498780800,6,30,Van - 53 Feet,"Allentown, PA -- Wallingford, CT",185.9,1,150,200,667.38,37.18,18,0,800
1498780800,6,30,Van - 53 Feet,"Allentown, PA -- Wallingford, CT",185.9,1,150,200,667.38,37.18,18,0,800
1498780800,6,30,Van - 53 Feet,"Allentown, PA -- Wallingford, CT",185.9,1,150,200,667.38,37.18,18,0,800
1498780800,6,30,Van - 53 Feet,"Allentown, PA -- Wallingford, CT",185.9,1,150,200,667.38,37.18,18,0,800
1498780800,6,30,Van - 53 Feet,"Allentown, PA -- Wallingford, CT",185.9,1,150,200,667.38,37.18,18,0,800
1498780800,6,30,Van - 53 Feet,"Allentown, PA -- Wallingford, CT",185.9,1,150,200,667.38,37.18,18,0,800
1498780800,6,30,Van - 53 Feet,"Allentown, PA -- Wallingford, CT",185.9,1,150,200,667.38,37.18,18,0,800
1498780800,6,30,Van - 53 Feet,"Allentown, PA -- Wallingford, CT",185.9,1,150,200,667.38,37.18,18,0,800
1498780800,6,30,Van - 53 Feet,"Allentown, PA -- Wallingford, CT",185.9,1,150,200,667.38,37.18,18,0,800
1499385600,6,30,Van - 53 Feet,"Allentown, PA -- Wallingford, CT",185.9,1,150,200,667.38,37.18,18,0,800
1499385600,6,30,Van - 53 Feet,"Allentown, PA -- Wallingford, CT",185.9,1,150,200,667.38,37.18,18,0,800
1499385600,6,30,Van - 53 Feet,"Allentown, PA -- Wallingford, CT",185.9,1,150,200,667.38,37.18,18,0,800
1499385600,6,30,Van - 53 Feet,"Allentown, PA -- Wallingford, CT",185.9,1,150,200,667.38,37.18,18,0,800
1499385600,6,30,Van - 53 Feet,"Allentown, PA -- Wallingford, CT",185.9,1,150,200,667.38,37.18,18,0,800
1499385600,6,30,Van - 53 Feet,"Plainfield, IN -- Shakopee, MN",609.7,1,500,750,1012.1,121.94,134,0,1000
1499385600,6,30,Van - 53 Feet,"Plainfield, IN -- Shakopee, MN",609.7,1,500,750,1012.1,121.94,134,0,1000
1499385600,6,30,Van - 53 Feet,"Plainfield, IN -- Shakopee, MN",609.7,1,500,750,1012.1,121.94,134,0,1000
